,value,open_value,market_cap(억원),market_cap_rank,title
1351,12725,12950,94,,TIGER 코스닥150바이오테크
1352,10420,10385,94,,TIGER 일본엔선물
1353,11640,11640,93,,KODEX 200동일가중
1354,5420,5300,92,,KODEX 운송
1355,12245,12425,92,,삼성 S&P500 VIX S/T 선물 ETN(H) B
1356,15285,15275,92,,KBSTAR V&S셀렉트밸류
1357,2760,2815,91,코스피1358위,태양금속우
1358,18190,18170,91,,KBSTAR 200커뮤니케이션서비스
1359,31000,31050,91,코스피1360위,금호산업우
1360,15040,15040,90,,마이다스 200커버드콜5%OTM
1361,9000,8865,90,,미래에셋 인버스 원유선물혼합 ETN(H)
1362,16355,16440,90,,KBSTAR 모멘텀로우볼
1363,11105,11000,90,,TIGER 우량가치
1364,4470,4465,89,,신한 인버스 다우존스지수 선물 ETN(H)
1365,12150,11800,89,코스피1366위,성신양회우
1366,2160,2140,89,,KOSEF 200선물인버스2X
1367,16155,16070,89,,HANARO 글로벌럭셔리S&P(합성)
1368,4435,4495,89,,미래에셋 인버스 S&P500 ETN(H)
1369,4430,4330,89,,신한 인버스 은 선물 ETN(H)
1370,16050,16065,88,,ARIRANG KS모멘텀가중TR
1371,18715,18780,88,,KOSEF 200 선물
1372,8755,8730,88,,TRUE 인버스 HSCEI ETN(H) B
1373,17465,17225,87,,TIGER 의료기기
1374,4320,4260,86,,TRUE 인버스 2X 유로스탁스50 ETN(H)
1375,46950,46750,86,,HANARO KAP초장기국고채
1376,8635,8635,86,,신한 코스피 콘도르 6/10% 콜 2204-01 ETN
1377,53555,53510,86,,ARIRANG 국채선물3년
1378,19380,19465,85,,TIGER 베타플러스
1379,8470,8410,85,,신한 인버스 Russell 2000 ETN
1380,3015,3000,84,,TIGER 라틴35
1381,14025,14085,84,,KBSTAR 게임테마
1382,8405,8545,84,,KBSTAR 5대그룹주
1383,4175,4210,84,,대신 인버스 2X 니켈선물 ETN(H)
1384,31450,32150,83,코스피1385위,동원시스템즈우
1385,4170,4125,83,,미래에셋 인버스 에너지화학 Core5 ETN
1386,11835,11790,83,,KBSTAR 고배당
1387,9720,9680,83,,KBSTAR 미국고정배당우선증권ICE TR
1388,8225,8225,82,,신한 코스피 월별 양매도 5% 콜 2206-1 ETN
1389,10245,10005,82,,KBSTAR 글로벌데이터센터리츠나스닥(합성)
1390,13540,13705,81,,KODEX MSCI모멘텀
1391,16185,16275,81,,KINDEX 삼성그룹동일가중
1392,80765,80770,81,,KINDEX 미국다우존스리츠(합성 H)
1393,16055,15885,80,,KBSTAR 헬스케어
1394,35630,35520,80,,KODEX 미국S&P바이오(합성)
1395,8005,8005,80,,신한 코스피 콘도르 4/10% 콜 2204-01 ETN
1396,17775,17940,80,,TIGER 차이나항셍25
1397,13280,13295,80,,ARIRANG KS로우볼가중TR
1398,2655,2675,80,,신한 천연가스 선물 ETN(H)
1399,7950,7965,80,,신한 코스피 월별 양매도 3% 콜 2206-1 ETN
1400,7925,7870,79,,삼성 인버스 China A50 선물 ETN(H)
1401,3960,3925,79,,신한 인버스 2X S&P500 선물 ETN
1402,13095,13180,79,,KINDEX 코스닥(합성)
